Order Dt,Time,Ticket#,Dish,Qty
2022-01-01,21:00:00,T-2200036,Soda,5
2022-01-01,21:36:00,T-2200037,Samosas,3
2022-01-01,21:36:00,T-2200037,Salads,2
2022-01-01,21:36:00,T-2200037,Roasted Potatoes,4
2022-01-01,21:36:00,T-2200037,key lime pie,9
2022-01-01,21:36:00,T-2200037,,1
2022-01-01,22:12:00,T-2200038,SHRIMP COCKTAIL,2
2022-01-01,22:12:00,T-2200038,LambChops,4
2022-01-01,22:12:00,T-2200038,Roasted Potatoes,4
01/01/2022,22:12:00,T-2200038,Carrot Cake,7
2022-01-01,22:12:00,T-2200038,Whiskey,4
2022-01-01,22:48:00,T-2200039,SHRIMP COCKTAIL,7
2022-01-01,22:48:00,T-2200039,Lasagna,4
01/01/2022,22:48:00,T-2200039,French Fries,5
2022-01-01,22:48:00,T-2200039,Apple Pie,10
01/01/2022,22:48:00,T-2200039,Water,2
01/01/2022,23:24:00,T-2200040,Tomato Soup,1
2022-01-01,23:24:00,T-2200040,LAMB CHOPS,4
2022-01-01,23:24:00,T-2200040,POTATO WEDGES,7
2022-01-01,23:24:00,T-2200040,,8
2022-01-01,23:24:00,T-2200040,SODA,7
2022-01-02,00:00:00,T-2200041,samosas,2
2022-01-02,00:00:00,T-2200041,seafood pasta,2
02/01/2022,00:00:00,T-2200041,,1
2022-01-02,00:00:00,T-2200041,key lime pie,1
2022-01-02,00:00:00,T-2200041,Soda,3
2022-01-02,00:36:00,T-2200042,CAESAR SALAD,3
02/01/2022,00:36:00,T-2200042,Fettuccine,5
2022-01-02,00:36:00,T-2200042,,5
02/01/2022,00:36:00,T-2200042,VARIOUS FLAVORS WITH TOPPINGS,2
2022-01-02,00:36:00,T-2200042,Juice,2
2022-01-02,01:12:00,T-2200043,BRUSCHETTA,1
2022-01-02,01:12:00,T-2200043,seafood pasta,5
2022-01-02,01:12:00,T-2200043,Potato Wedges,4
02/01/2022,01:12:00,T-2200043,Chocolate Pudding,4
2022-01-02,01:12:00,T-2200043,Lemonade,2
2022-01-02,01:48:00,T-2200044,Chicken Soup,6
2022-01-02,01:48:00,T-2200044,Vegetable Stir-Fry,2
02/01/2022,01:48:00,T-2200044,mashed potatoes,2
2022-01-02,01:48:00,T-2200044,Rice Pudding,2
2022-01-02,01:48:00,T-2200044,SODA,3
2022-01-02,02:24:00,T-2200045,Bruschetta,3
2022-01-02,02:24:00,T-2200045,Grilled Fish,7
02/01/2022,02:24:00,T-2200045,,4
2022-01-02,02:24:00,T-2200045,Apple Pie,2
2022-01-02,02:24:00,T-2200045,WHISKEY,1
2022-01-02,03:00:00,T-2200046,samosas,2
2022-01-02,03:00:00,T-2200046,pork chops,3
2022-01-02,03:00:00,T-2200046,NAAN BREAD,4
2022-01-02,03:00:00,T-2200046,Cherry Pie,4
2022-01-02,03:00:00,T-2200046,Juice,3
2022-01-02,03:36:00,T-2200047,calamari rings,1
2022-01-02,03:36:00,T-2200047,Tofu Dishes,2
2022-01-02,03:36:00,T-2200047,Grilled Vegetables,2
02/01/2022,03:36:00,T-2200047,CHOCOLATE CAKE,3
2022-01-02,03:36:00,T-2200047,Lemonade,4
2022-01-02,04:12:00,T-2200048,Spring Rolls,1
2022-01-02,04:12:00,T-2200048,pork chops,1
2022-01-02,04:12:00,T-2200048,Pilaf,4
2022-01-02,04:12:00,T-2200048,Chocolate Pudding,4
2022-01-02,04:12:00,T-2200048,Beer,2
2022-01-02,04:48:00,T-2200049,CHICKEN SOUP,1
2022-01-02,04:48:00,T-2200049,Vegetarian Pasta,4
2022-01-02,04:48:00,T-2200049,Garlic Bread,4
2022-01-02,04:48:00,T-2200049,Cherry Pie,4
2022-01-02,04:48:00,T-2200049,Soda,1
2022-01-02,05:24:00,T-2200050,caesar salad,3
2022-01-02,05:24:00,T-2200050,Lasagna,7
2022-01-02,05:24:00,T-2200050,Potato Wedges,1
02/01/2022,05:24:00,T-2200050,Apple Pie,5
2022-01-02,05:24:00,T-2200050,BEER,2
2022-01-02,06:00:00,T-2200051,BRUSCHETTA,1
2022-01-02,06:00:00,T-2200051,Chicken Breast,3
2022-01-02,06:00:00,T-2200051,fried rice,1
2022-01-02,06:00:00,T-2200051,Fruit Salad,2
02/01/2022,06:00:00,T-2200051,Juice,2
2022-01-02,06:36:00,T-2200052,TomatoSoup,1
2022-01-02,06:36:00,T-2200052,burgers,1
2022-01-02,06:36:00,T-2200052,GrilledVegetables,1
2022-01-02,06:36:00,T-2200052,Fruit Platter,3
02/01/2022,06:36:00,T-2200052,WINE,3
2022-01-02,07:12:00,T-2200053,SeafoodSkewers,2
2022-01-02,07:12:00,T-2200053,FETTUCCINE,1
2022-01-02,07:12:00,T-2200053,Mixed Vegetable Medley,1
2022-01-02,07:12:00,T-2200053,Carrot Cake,4
2022-01-02,07:12:00,T-2200053,,1
2022-01-02,07:48:00,T-2200054,SeafoodSkewers,2
2022-01-02,07:48:00,T-2200054,Fettuccine,1
2022-01-02,07:48:00,T-2200054,Roasted Potatoes,6
2022-01-02,07:48:00,T-2200054,tiramisu,4
2022-01-02,07:48:00,T-2200054,wine,3
2022-01-02,08:24:00,T-2200055,garden salad,1
2022-01-02,08:24:00,T-2200055,Ravioli,1
2022-01-02,08:24:00,T-2200055,GRILLED VEGETABLES,4
02/01/2022,08:24:00,T-2200055,Various Flavors with Toppings,5
2022-01-02,08:24:00,T-2200055,Iced Tea,3
2022-01-02,09:00:00,T-2200056,garden salad,1
2022-01-02,09:00:00,T-2200056,RAVIOLI,1
2022-01-02,09:00:00,T-2200056,Grilled Vegetables,4
2022-01-02,09:00:00,T-2200056,CHOCOLATE PUDDING,4
02/01/2022,09:00:00,T-2200056,ICED TEA,4
2022-01-02,09:36:00,T-2200057,SPRING ROLLS,3
2022-01-02,09:36:00,T-2200057,FRIED FISH,4
2022-01-02,09:36:00,T-2200057,,4
2022-01-02,09:36:00,T-2200057,Fruit Platter,4
02/01/2022,09:36:00,T-2200057,iced tea,2
2022-01-02,10:12:00,T-2200058,calamari rings,2
2022-01-02,10:12:00,T-2200058,Turkey Dishes,3
02/01/2022,10:12:00,T-2200058,Potato Wedges,3
2022-01-02,10:12:00,T-2200058,fruit salad,3
2022-01-02,10:12:00,T-2200058,Soda,1
2022-01-02,10:48:00,T-2200059,Seafood Skewers,2
2022-01-02,10:48:00,T-2200059,Lasagna,3
2022-01-02,10:48:00,T-2200059,Mixed Vegetable Medley,1
2022-01-02,10:48:00,T-2200059,CUSTARD,7
2022-01-02,10:48:00,T-2200059,Lemonade,1
2022-01-02,11:24:00,T-2200060,Garden Salad,1
2022-01-02,11:24:00,T-2200060,Salads,2
2022-01-02,11:24:00,T-2200060,Garlic Bread,1
2022-01-02,11:24:00,T-2200060,ChocolateCake,3
02/01/2022,11:24:00,T-2200060,COFFEE,3
2022-01-02,12:00:00,T-2200061,Spring Rolls,4
2022-01-02,12:00:00,T-2200061,Burgers,2
2022-01-02,12:00:00,T-2200061,steamed vegetables,1
2022-01-02,12:00:00,T-2200061,cherry pie,5
02/01/2022,12:00:00,T-2200061,Iced Tea,3
02/01/2022,12:36:00,T-2200062,Seafood Skewers,5
2022-01-02,12:36:00,T-2200062,Fried Fish,2
2022-01-02,12:36:00,T-2200062,ROASTED POTATOES,5
2022-01-02,12:36:00,T-2200062,chocolate pudding,4
2022-01-02,12:36:00,T-2200062,Coffee,5
02/01/2022,13:12:00,T-2200063,Samosas,2
2022-01-02,13:12:00,T-2200063,Lamb Chops,6
2022-01-02,13:12:00,T-2200063,Mashed Potatoes,1
2022-01-02,13:12:00,T-2200063,Cheesecake,4
2022-01-02,13:12:00,T-2200063,,1
2022-01-02,13:48:00,T-2200064,Seafood Skewers,1
2022-01-02,13:48:00,T-2200064,Roasted Duck,1
2022-01-02,13:48:00,T-2200064,,5
2022-01-02,13:48:00,T-2200064,Custard,1
02/01/2022,13:48:00,T-2200064,Wine,1
2022-01-02,14:24:00,T-2200065,chicken soup,2
2022-01-02,14:24:00,T-2200065,Grilled Fish,5
2022-01-02,14:24:00,T-2200065,Naan Bread,1
2022-01-02,14:24:00,T-2200065,Fruit Salad,4
02/01/2022,14:24:00,T-2200065,,2
2022-01-02,15:00:00,T-2200066,Samosas,1
2022-01-02,15:00:00,T-2200066,Burgers,3
02/01/2022,15:00:00,T-2200066,FrenchFries,3
2022-01-02,15:00:00,T-2200066,,2
2022-01-02,15:00:00,T-2200066,SODA,1
2022-01-02,15:36:00,T-2200067,Tomato Soup,1
2022-01-02,15:36:00,T-2200067,Lasagna,2
2022-01-02,15:36:00,T-2200067,MashedPotatoes,4
2022-01-02,15:36:00,T-2200067,Fruit Salad,3
2022-01-02,15:36:00,T-2200067,Lemonade,3
2022-01-02,16:12:00,T-2200068,ChickenSoup,4
2022-01-02,16:12:00,T-2200068,Fried Fish,2
2022-01-02,16:12:00,T-2200068,Garlic Bread,3
2022-01-02,16:12:00,T-2200068,ChocolatePudding,4
2022-01-02,16:12:00,T-2200068,LEMONADE,2
2022-01-02,16:48:00,T-2200069,Chicken Soup,1
2022-01-02,16:48:00,T-2200069,Pork Chops,3
2022-01-02,16:48:00,T-2200069,ROASTED POTATOES,4
2022-01-02,16:48:00,T-2200069,Carrot Cake,6
02/01/2022,16:48:00,T-2200069,Cocktails,1
2022-01-02,17:24:00,T-2200070,Tomato Soup,1
2022-01-02,17:24:00,T-2200070,LASAGNA,2
2022-01-02,17:24:00,T-2200070,,2
2022-01-02,17:24:00,T-2200070,TIRAMISU,3
2022-01-02,17:24:00,T-2200070,Beer,1
2022-01-02,18:00:00,T-2200071,SHRIMP COCKTAIL,2
2022-01-02,18:00:00,T-2200071,VEGETABLE STIR-FRY,4
2022-01-02,18:00:00,T-2200071,Dinner Rolls,6
2022-01-02,18:00:00,T-2200071,Tiramisu,4
2022-01-02,18:00:00,T-2200071,Juice,1
02/01/2022,18:36:00,T-2200072,bruschetta,2
02/01/2022,18:36:00,T-2200072,Tofu Dishes,4
02/01/2022,18:36:00,T-2200072,,5
2022-01-02,18:36:00,T-2200072,rice pudding,3
2022-01-02,18:36:00,T-2200072,Beer,3
2022-01-02,19:12:00,T-2200073,BRUSCHETTA,1
2022-01-02,19:12:00,T-2200073,Steaks,1
02/01/2022,19:12:00,T-2200073,PILAF,4
02/01/2022,19:12:00,T-2200073,carrot cake,6
2022-01-02,19:12:00,T-2200073,,1
2022-01-02,19:48:00,T-2200074,garden salad,6
2022-01-02,19:48:00,T-2200074,Chicken Breast,1
2022-01-02,19:48:00,T-2200074,Pilaf,2
02/01/2022,19:48:00,T-2200074,CHERRY PIE,7
2022-01-02,19:48:00,T-2200074,,2
2022-01-02,20:24:00,T-2200075,Spring Rolls,1
2022-01-02,20:24:00,T-2200075,Sushi Rolls,1
2022-01-02,20:24:00,T-2200075,,1
2022-01-02,20:24:00,T-2200075,Key Lime Pie,5
2022-01-02,20:24:00,T-2200075,vodka,2
2022-01-02,21:00:00,T-2200076,ChickenSoup,2
2022-01-02,21:00:00,T-2200076,sushi rolls,2
2022-01-02,21:00:00,T-2200076,FRENCH FRIES,2
2022-01-02,21:00:00,T-2200076,VARIOUS FLAVORS WITH TOPPINGS,4
2022-01-02,21:00:00,T-2200076,Iced Tea,1
2022-01-02,21:36:00,T-2200077,TOMATO SOUP,1
02/01/2022,21:36:00,T-2200077,RAVIOLI,2
2022-01-02,21:36:00,T-2200077,Mashed Potatoes,5
2022-01-02,21:36:00,T-2200077,Carrot Cake,4
2022-01-02,21:36:00,T-2200077,whiskey,1
2022-01-02,22:12:00,T-2200078,Tomato Soup,1
2022-01-02,22:12:00,T-2200078,steaks,3
02/01/2022,22:12:00,T-2200078,Pilaf,2
2022-01-02,22:12:00,T-2200078,custard,3
2022-01-02,22:12:00,T-2200078,Lemonade,1
2022-01-02,22:48:00,T-2200079,Samosas,4
2022-01-02,22:48:00,T-2200079,Vegetable Stir-Fry,2
02/01/2022,22:48:00,T-2200079,FrenchFries,2
2022-01-02,22:48:00,T-2200079,,3
2022-01-02,22:48:00,T-2200079,Wine,2
2022-01-02,23:24:00,T-2200080,Garden Salad,5
2022-01-02,23:24:00,T-2200080,SUSHI ROLLS,3
2022-01-02,23:24:00,T-2200080,DINNER ROLLS,7
2022-01-02,23:24:00,T-2200080,RICE PUDDING,4
2022-01-02,23:24:00,T-2200080,Beer,1
03/01/2022,00:00:00,T-2200081,Seafood Skewers,1
2022-01-03,00:00:00,T-2200081,seafood pasta,1
2022-01-03,00:00:00,T-2200081,Mashed Potatoes,1
03/01/2022,00:00:00,T-2200081,fruit salad,1
2022-01-03,00:00:00,T-2200081,Lemonade,2
2022-01-03,00:36:00,T-2200082,Samosas,1
2022-01-03,00:36:00,T-2200082,Spaghetti,1
03/01/2022,00:36:00,T-2200082,PLAIN RICE,2
03/01/2022,00:36:00,T-2200082,chocolate pudding,1
2022-01-03,00:36:00,T-2200082,Water,1
2022-01-03,01:12:00,T-2200083,TOMATO SOUP,1
2022-01-03,01:12:00,T-2200083,salads,1
2022-01-03,01:12:00,T-2200083,DinnerRolls,1
2022-01-03,01:12:00,T-2200083,Fruit Platter,1
03/01/2022,01:12:00,T-2200083,Iced Tea,1
2022-01-03,01:48:00,T-2200084,Tomato Soup,1
2022-01-03,01:48:00,T-2200084,Vegetarian Pasta,1
2022-01-03,01:48:00,T-2200084,French Fries,1
03/01/2022,01:48:00,T-2200084,Cheesecake,1
03/01/2022,01:48:00,T-2200084,Lemonade,2
2022-01-03,02:24:00,T-2200085,Bruschetta,1
2022-01-03,02:24:00,T-2200085,grilled fish,2
2022-01-03,02:24:00,T-2200085,DINNER ROLLS,2
2022-01-03,02:24:00,T-2200085,Key Lime Pie,2
2022-01-03,02:24:00,T-2200085,WHISKEY,1
2022-01-03,03:00:00,T-2200086,Garden Salad,1
2022-01-03,03:00:00,T-2200086,Spaghetti,1
2022-01-03,03:00:00,T-2200086,mixed vegetable medley,1
2022-01-03,03:00:00,T-2200086,Carrot Cake,1
2022-01-03,03:00:00,T-2200086,VODKA,2
03/01/2022,03:36:00,T-2200087,Tomato Soup,1
03/01/2022,03:36:00,T-2200087,SPAGHETTI,1
2022-01-03,03:36:00,T-2200087,Plain Rice,2
2022-01-03,03:36:00,T-2200087,Cherry Pie,4
2022-01-03,03:36:00,T-2200087,Vodka,1
2022-01-03,04:12:00,T-2200088,garden salad,3
2022-01-03,04:12:00,T-2200088,Tofu Dishes,1
2022-01-03,04:12:00,T-2200088,Pilaf,3
2022-01-03,04:12:00,T-2200088,Various Flavors with Toppings,1
2022-01-03,04:12:00,T-2200088,Soda,1
2022-01-03,04:48:00,T-2200089,SpringRolls,2
2022-01-03,04:48:00,T-2200089,TofuDishes,1
2022-01-03,04:48:00,T-2200089,Naan Bread,1
2022-01-03,04:48:00,T-2200089,Key Lime Pie,1
03/01/2022,04:48:00,T-2200089,coffee,1
2022-01-03,05:24:00,T-2200090,Bruschetta,1
2022-01-03,05:24:00,T-2200090,lasagna,2
2022-01-03,05:24:00,T-2200090,Pilaf,1
2022-01-03,05:24:00,T-2200090,Fruit Salad,1
2022-01-03,05:24:00,T-2200090,LEMONADE,1
2022-01-03,06:00:00,T-2200091,Samosas,2
03/01/2022,06:00:00,T-2200091,GRILLED FISH,1
2022-01-03,06:00:00,T-2200091,Steamed Vegetables,1
2022-01-03,06:00:00,T-2200091,ChocolatePudding,1
2022-01-03,06:00:00,T-2200091,Soda,1
2022-01-03,06:36:00,T-2200092,Tomato Soup,1
2022-01-03,06:36:00,T-2200092,Grilled Fish,2
2022-01-03,06:36:00,T-2200092,Dinner Rolls,1
2022-01-03,06:36:00,T-2200092,CHOCOLATE CAKE,1
03/01/2022,06:36:00,T-2200092,Lemonade,1
03/01/2022,07:12:00,T-2200093,Shrimp Cocktail,1
2022-01-03,07:12:00,T-2200093,Sushi Rolls,1
2022-01-03,07:12:00,T-2200093,MIXED VEGETABLE MEDLEY,1
2022-01-03,07:12:00,T-2200093,FruitSalad,2
03/01/2022,07:12:00,T-2200093,Cocktails,1
2022-01-03,07:48:00,T-2200094,Shrimp Cocktail,2
2022-01-03,07:48:00,T-2200094,FRIED FISH,1
03/01/2022,07:48:00,T-2200094,Garlic Bread,1
2022-01-03,07:48:00,T-2200094,chocolate pudding,1
03/01/2022,07:48:00,T-2200094,soda,1
2022-01-03,08:24:00,T-2200095,Shrimp Cocktail,1
03/01/2022,08:24:00,T-2200095,fettuccine,1
2022-01-03,08:24:00,T-2200095,NaanBread,1
03/01/2022,08:24:00,T-2200095,Chocolate Cake,1
2022-01-03,08:24:00,T-2200095,Cocktails,2
2022-01-03,09:00:00,T-2200096,Bruschetta,1
2022-01-03,09:00:00,T-2200096,Grilled Fish,1
03/01/2022,09:00:00,T-2200096,Pilaf,1
2022-01-03,09:00:00,T-2200096,Rice Pudding,1
2022-01-03,09:00:00,T-2200096,Water,3
2022-01-03,09:36:00,T-2200097,Garden Salad,1
2022-01-03,09:36:00,T-2200097,Pork Chops,1
2022-01-03,09:36:00,T-2200097,GrilledVegetables,1
2022-01-03,09:36:00,T-2200097,Custard,1
2022-01-03,09:36:00,T-2200097,Vodka,3
03/01/2022,10:12:00,T-2200098,Samosas,1
2022-01-03,10:12:00,T-2200098,TurkeyDishes,2
2022-01-03,10:12:00,T-2200098,GrilledVegetables,1
2022-01-03,10:12:00,T-2200098,Fruit Salad,1
2022-01-03,10:12:00,T-2200098,Wine,1
2022-01-03,10:48:00,T-2200099,bruschetta,1
03/01/2022,10:48:00,T-2200099,Pork Chops,1
2022-01-03,10:48:00,T-2200099,FriedRice,1
2022-01-03,10:48:00,T-2200099,Cherry Pie,1
2022-01-03,10:48:00,T-2200099,Water,1
2022-01-03,11:24:00,T-2200100,CaesarSalad,1
